timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1678165242117,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-63,text,false,,875,0,1,1,null,0,0,0
1678165242127,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-64,text,false,,875,0,1,1,null,0,0,0
1678165242127,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-64,text,false,,875,0,1,1,null,0,0,0
1678165242137,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-65,text,false,,875,0,1,1,null,0,0,0
1678165242137,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-65,text,false,,875,0,1,1,null,0,0,0
1678165242146,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-66,text,false,,875,0,1,1,null,0,0,0
1678165242146,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-66,text,false,,875,0,1,1,null,0,0,0
1678165242157,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-67,text,false,,875,0,1,1,null,0,0,0
1678165242157,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-67,text,false,,875,0,1,1,null,0,0,0
1678165242167,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-68,text,false,,875,0,1,1,null,0,0,0
1678165242167,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-68,text,false,,875,0,1,1,null,0,0,0
1678165242177,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-69,text,false,,875,0,1,1,null,0,0,0
1678165242177,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-69,text,false,,875,0,1,1,null,0,0,0
1678165242188,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-70,text,false,,875,0,1,1,null,0,0,0
1678165242188,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-70,text,false,,875,0,1,1,null,0,0,0
1678165242197,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-71,text,false,,875,0,1,1,null,0,0,0
1678165242197,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-71,text,false,,875,0,1,1,null,0,0,0
1678165242207,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-72,text,false,,875,0,1,1,null,0,0,0
1678165242207,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-72,text,false,,875,0,1,1,null,0,0,0
1678165242218,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-73,text,false,,875,0,1,1,null,0,0,0
1678165242218,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-73,text,false,,875,0,1,1,null,0,0,0
1678165242227,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-74,text,false,,875,0,1,1,null,0,0,0
1678165242227,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-74,text,false,,875,0,1,1,null,0,0,0
1678165242237,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-75,text,false,,875,0,1,1,null,0,0,0
1678165242237,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-75,text,false,,875,0,1,1,null,0,0,0
1678165242247,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-76,text,false,,875,0,1,1,null,0,0,0
1678165242247,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-76,text,false,,875,0,1,1,null,0,0,0
1678165242256,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-77,text,false,,875,0,1,1,null,0,0,0
1678165242256,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-77,text,false,,875,0,1,1,null,0,0,0
1678165242266,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-78,text,false,,875,0,1,1,null,0,0,0
1678165242266,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-78,text,false,,875,0,1,1,null,0,0,0
1678165242277,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-79,text,false,,875,0,1,1,null,0,0,0
1678165242277,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-79,text,false,,875,0,1,1,null,0,0,0
1678165242286,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-80,text,false,,875,0,1,1,null,0,0,0
1678165242286,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-80,text,false,,875,0,1,1,null,0,0,0
1678165242295,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-81,text,false,,875,0,1,1,null,0,0,0
1678165242295,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-81,text,false,,875,0,1,1,null,0,0,0
1678165242305,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-82,text,false,,875,0,1,1,null,0,0,0
1678165242305,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-82,text,false,,875,0,1,1,null,0,0,0
1678165242315,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-83,text,false,,875,0,1,1,null,0,0,0
1678165242315,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-83,text,false,,875,0,1,1,null,0,0,0
1678165242327,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-84,text,false,,875,0,1,1,null,0,0,0
1678165242327,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-84,text,false,,875,0,1,1,null,0,0,0
1678165242336,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-85,text,false,,875,0,1,1,null,0,0,0
1678165242336,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-85,text,false,,875,0,1,1,null,0,0,0
1678165242346,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-86,text,false,,875,0,1,1,null,0,0,0
1678165242346,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-86,text,false,,875,0,1,1,null,0,0,0
1678165242355,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-87,text,false,,875,0,1,1,null,0,0,0
